scale500,scale500labels,scale250,scale250labels,scale125,scale125labels,scale60,scale60labels,scale33,scale33labels
509,lateralorbitofrontal_9,231,lateralorbitofrontal_1,116,lateralorbitofrontal_1,65,lateralorbitofrontal_1,42,lateralorbitofrontal
510,lateralorbitofrontal_4,232,lateralorbitofrontal_2,117,lateralorbitofrontal_2,66,lateralorbitofrontal_2,43,parsorbitalis
511,lateralorbitofrontal_6,233,lateralorbitofrontal_3,118,lateralorbitofrontal_3,67,parsorbitalis_1,44,frontalpole
512,lateralorbitofrontal_3,234,lateralorbitofrontal_4,119,lateralorbitofrontal_4,68,frontalpole_1,45,medialorbitofrontal
513,lateralorbitofrontal_13,235,lateralorbitofrontal_5,120,parsorbitalis_1,69,medialorbitofrontal_1,46,parstriangularis
514,lateralorbitofrontal_2,236,lateralorbitofrontal_6,121,frontalpole_1,70,parstriangularis_1,47,parsopercularis
515,lateralorbitofrontal_16,237,lateralorbitofrontal_7,122,medialorbitofrontal_1,71,parsopercularis_1,48,rostralmiddlefrontal
516,lateralorbitofrontal_7,238,parsorbitalis_1,123,medialorbitofrontal_2,72,rostralmiddlefrontal_1,49,superiorfrontal
517,lateralorbitofrontal_10,239,parsorbitalis_2,124,parstriangularis_1,73,rostralmiddlefrontal_2,50,caudalmiddlefrontal
518,lateralorbitofrontal_12,240,frontalpole_1,125,parsopercularis_1,74,rostralmiddlefrontal_3,51,precentral
519,lateralorbitofrontal_14,241,medialorbitofrontal_1,126,parsopercularis_2,75,superiorfrontal_1,52,paracentral
520,lateralorbitofrontal_11,242,medialorbitofrontal_2,127,rostralmiddlefrontal_1,76,superiorfrontal_2,53,rostralanteriorcingulate
521,lateralorbitofrontal_8,243,medialorbitofrontal_3,128,rostralmiddlefrontal_2,77,superiorfrontal_3,54,caudalanteriorcingulate
522,lateralorbitofrontal_5,244,medialorbitofrontal_4,129,rostralmiddlefrontal_3,78,superiorfrontal_4,55,posteriorcingulate
523,lateralorbitofrontal_1,245,medialorbitofrontal_5,130,rostralmiddlefrontal_4 ,79,caudalmiddlefrontal_1,56,isthmuscingulate
524,lateralorbitofrontal_15,246,parstriangularis_1,131,rostralmiddlefrontal_5 ,80,precentral_1,57,postcentral
525,parsorbitalis_3,247,parstriangularis_2,132,rostralmiddlefrontal_6,81,precentral_2,58,supramarginal
526,parsorbitalis_2,248,parstriangularis_3,133,superiorfrontal_1,82,precentral_3,59,superiorparietal
527,parsorbitalis_1,249,parsopercularis_1,134,superiorfrontal_2,83,precentral_4,60,inferiorparietal
528,parsorbitalis_4,250,parsopercularis_2,135,superiorfrontal_3,84,paracentral_1,61,precuneus
529,frontalpole_1,251,parsopercularis_3,136,superiorfrontal_4,85,rostralanteriorcingulate_1,62,cuneus
530,frontalpole_2,252,parsopercularis_4,137,superiorfrontal_5,86,caudalanteriorcingulate_1,63,pericalcarine
531,medialorbitofrontal_6,253,rostralmiddlefrontal_1,138,superiorfrontal_6,87,posteriorcingulate_1,64,lateraloccipital
532,medialorbitofrontal_8,254,rostralmiddlefrontal_2,139,superiorfrontal_7,88,isthmuscingulate_1,65,lingual
533,medialorbitofrontal_4,255,rostralmiddlefrontal_3,140,superiorfrontal_8,89,postcentral_1,66,fusiform
534,medialorbitofrontal_5,256,rostralmiddlefrontal_4 ,141,superiorfrontal_9,90,postcentral_2,67,parahippocampal
535,medialorbitofrontal_3,257,rostralmiddlefrontal_5 ,142,caudalmiddlefrontal_1,91,postcentral_3,68,entorhinal
536,medialorbitofrontal_10,258,rostralmiddlefrontal_6,143,caudalmiddlefrontal_2,92,supramarginal_1,69,temporalpole
537,medialorbitofrontal_9,259,rostralmiddlefrontal_7,144,caudalmiddlefrontal_3,93,supramarginal_2,70,inferiortemporal
538,medialorbitofrontal_7,260,rostralmiddlefrontal_8,145,precentral_1,94,superiorparietal_1,71,middletemporal
539,medialorbitofrontal_1,261,rostralmiddlefrontal_9,146,precentral_2,95,superiorparietal_2,72,bankssts
540,medialorbitofrontal_2,262,rostralmiddlefrontal_10,147,precentral_3,96,superiorparietal_3,73,superiortemporal
541,parstriangularis_3,263,rostralmiddlefrontal_11,148,precentral_4,97,inferiorparietal_1,74,transversetemporal
542,parstriangularis_4,264,rostralmiddlefrontal_12,149,precentral_5,98,inferiorparietal_2,75,insula
543,parstriangularis_7,265,superiorfrontal_1,150,precentral_6,99,precuneus_1,76,thalamusproper
544,parstriangularis_5,266,superiorfrontal_2,151,precentral_7,100,precuneus_2,77,caudate
545,parstriangularis_6,267,superiorfrontal_3,152,precentral_8,101,cuneus_1,78,putamen
546,parstriangularis_2,268,superiorfrontal_4,153,paracentral_1,102,pericalcarine_1,79,pallidum
547,parstriangularis_1,269,superiorfrontal_5,154,paracentral_2,103,lateraloccipital_1,80,accumbensarea
548,parsopercularis_6,270,superiorfrontal_6,155,rostralanteriorcingulate_1,104,lateraloccipital_2,81,hyppocampus
549,parsopercularis_7,271,superiorfrontal_7,156,caudalanteriorcingulate_1,105,lingual_1,82,amygdala
550,parsopercularis_2,272,superiorfrontal_8,157,posteriorcingulate_1,106,lingual_2,83,brainstem
551,parsopercularis_9,273,superiorfrontal_9,158,posteriorcingulate_2,107,fusiform_1,,
552,parsopercularis_8,274,superiorfrontal_10,159,isthmuscingulate_1,108,fusiform_2,,
553,parsopercularis_4,275,superiorfrontal_11,160,postcentral_1,109,parahippocampal_1,,
554,parsopercularis_10,276,superiorfrontal_12,161,postcentral_2,110,entorhinal_1,,
555,parsopercularis_3,277,superiorfrontal_13,162,postcentral_3,111,temporalpole_1,,
556,parsopercularis_5,278,superiorfrontal_14,163,postcentral_4,112,inferiortemporal_1,,
557,parsopercularis_1,279,superiorfrontal_15,164,postcentral_5,113,inferiortemporal_2,,
558,rostralmiddlefrontal_17,280,superiorfrontal_16,165,postcentral_6,114,middletemporal_1,,
559,rostralmiddlefrontal_15,281,superiorfrontal_17,166,postcentral_7,115,middletemporal_2,,
560,rostralmiddlefrontal_13,282,superiorfrontal_18,167,supramarginal_1,116,bankssts_1,,
561,rostralmiddlefrontal_9,283,caudalmiddlefrontal_1,168,supramarginal_2,117,superiortemporal_1,,
562,rostralmiddlefrontal_19,284,caudalmiddlefrontal_2,169,supramarginal_3,118,superiortemporal_2,,
563,rostralmiddlefrontal_16,285,caudalmiddlefrontal_3,170,supramarginal_4,119,transversetemporal_1,,
564,rostralmiddlefrontal_6,286,caudalmiddlefrontal_4,171,supramarginal_5,120,insula_1,,
565,rostralmiddlefrontal_22,287,caudalmiddlefrontal_5,172,superiorparietal_1,121,insula_2,,
566,rostralmiddlefrontal_4,288,caudalmiddlefrontal_6,173,superiorparietal_2,122,thalamusproper,,
567,rostralmiddlefrontal_26,289,precentral_1,174,superiorparietal_3,123,caudate,,
568,rostralmiddlefrontal_18,290,precentral_2,175,superiorparietal_4,124,putamen,,
569,rostralmiddlefrontal_24,291,precentral_3,176,superiorparietal_5,125,pallidum,,
570,rostralmiddlefrontal_5,292,precentral_4,177,superiorparietal_6,126,accumbensarea,,
571,rostralmiddlefrontal_10,293,precentral_5,178,superiorparietal_7,127,hyppocampus,,
572,rostralmiddlefrontal_21,294,precentral_6,179,inferiorparietal_1,128,amygdala,,
573,rostralmiddlefrontal_23,295,precentral_7,180,inferiorparietal_2,129,brainstem,,
574,rostralmiddlefrontal_12,296,precentral_8,181,inferiorparietal_3,,,,
575,rostralmiddlefrontal_11,297,precentral_9,182,inferiorparietal_4,,,,
576,rostralmiddlefrontal_8,298,precentral_10,183,inferiorparietal_5,,,,
577,rostralmiddlefrontal_20,299,precentral_11,184,precuneus_1,,,,
578,rostralmiddlefrontal_7,300,precentral_12,185,precuneus_2,,,,
579,rostralmiddlefrontal_14,301,precentral_13,186,precuneus_3,,,,
580,rostralmiddlefrontal_3,302,precentral_14,187,precuneus_4,,,,
581,rostralmiddlefrontal_2,303,precentral_15,188,precuneus_5,,,,
582,rostralmiddlefrontal_25,304,precentral_16,189,cuneus_1,,,,
583,rostralmiddlefrontal_1,305,paracentral_1,190,pericalcarine_1,,,,
584,superiorfrontal_11,306,paracentral_2,191,lateraloccipital_1,,,,
585,superiorfrontal_32,307,paracentral_3,192,lateraloccipital_2,,,,
586,superiorfrontal_8,308,paracentral_4,193,lateraloccipital_3,,,,
587,superiorfrontal_14,309,paracentral_5,194,lateraloccipital_4,,,,
588,superiorfrontal_16,310,rostralanteriorcingulate_1,195,lateraloccipital_5,,,,
589,superiorfrontal_10,311,rostralanteriorcingulate_2,196,lingual_1,,,,
590,superiorfrontal_35,312,caudalanteriorcingulate_1,197,lingual_2,,,,
591,superiorfrontal_42,313,caudalanteriorcingulate_2,198,lingual_3,,,,
592,superiorfrontal_24,314,posteriorcingulate_1,199,lingual_4,,,,
593,superiorfrontal_39,315,posteriorcingulate_2,200,fusiform_1,,,,
594,superiorfrontal_23,316,posteriorcingulate_3,201,fusiform_2,,,,
595,superiorfrontal_9,317,posteriorcingulate_4,202,fusiform_3,,,,
596,superiorfrontal_1,318,isthmuscingulate_1,203,fusiform_4,,,,
597,superiorfrontal_38,319,isthmuscingulate_2,204,parahippocampal_1,,,,
598,superiorfrontal_45,320,isthmuscingulate_3,205,entorhinal_1,,,,
599,superiorfrontal_12,321,postcentral_1,206,temporalpole_1,,,,
600,superiorfrontal_4,322,postcentral_2,207,inferiortemporal_1,,,,
601,superiorfrontal_21,323,postcentral_3,208,inferiortemporal_2,,,,
602,superiorfrontal_29,324,postcentral_4,209,inferiortemporal_3,,,,
603,superiorfrontal_44,325,postcentral_5,210,inferiortemporal_4,,,,
604,superiorfrontal_19,326,postcentral_6,211,middletemporal_1,,,,
605,superiorfrontal_30,327,postcentral_7,212,middletemporal_2,,,,
606,superiorfrontal_28,328,postcentral_8,213,middletemporal_3,,,,
607,superiorfrontal_22,329,postcentral_9,214,middletemporal_4,,,,
608,superiorfrontal_27,330,postcentral_10,215,bankssts_1,,,,
609,superiorfrontal_20,331,postcentral_11,216,bankssts_2,,,,
610,superiorfrontal_37,332,postcentral_12,217,superiortemporal_1,,,,
611,superiorfrontal_40,333,postcentral_13,218,superiortemporal_2,,,,
612,superiorfrontal_36,334,postcentral_14,219,superiortemporal_3,,,,
613,superiorfrontal_7,335,supramarginal_1,220,superiortemporal_4,,,,
614,superiorfrontal_2,336,supramarginal_2,221,superiortemporal_5,,,,
615,superiorfrontal_18,337,supramarginal_3,222,transversetemporal_1,,,,
616,superiorfrontal_34,338,supramarginal_4,223,insula_1,,,,
617,superiorfrontal_33,339,supramarginal_5,224,insula_2,,,,
618,superiorfrontal_3,340,supramarginal_6,225,insula_3,,,,
619,superiorfrontal_31,341,supramarginal_7,226,insula_4,,,,
620,superiorfrontal_25,342,supramarginal_8,227,thalamusproper,,,,
621,superiorfrontal_5,343,supramarginal_9,228,caudate,,,,
622,superiorfrontal_15,344,supramarginal_10,229,putamen,,,,
623,superiorfrontal_43,345,superiorparietal_1,230,pallidum,,,,
624,superiorfrontal_26,346,superiorparietal_2,231,accumbensarea,,,,
625,superiorfrontal_6,347,superiorparietal_3,232,hyppocampus,,,,
626,superiorfrontal_13,348,superiorparietal_4,233,amygdala,,,,
627,superiorfrontal_17,349,superiorparietal_5,234,brainstem,,,,
