scale500,scale500labels,scale250,scale250labels,scale125,scale125labels,scale60,scale60labels,scale33,scale33labels
1,lateralorbitofrontal_9,1,lateralorbitofrontal_1,1,lateralorbitofrontal_1,1,lateralorbitofrontal_1,1,lateralorbitofrontal
2,lateralorbitofrontal_11,2,lateralorbitofrontal_2,2,lateralorbitofrontal_2,2,lateralorbitofrontal_2,2,parsorbitalis
3,lateralorbitofrontal_5,3,lateralorbitofrontal_3,3,lateralorbitofrontal_3,3,parsorbitalis_1,3,frontalpole
4,lateralorbitofrontal_6,4,lateralorbitofrontal_4,4,lateralorbitofrontal_4,4,frontalpole_1,4,medialorbitofrontal
5,lateralorbitofrontal_7,5,lateralorbitofrontal_5,5,parsorbitalis_1,5,medialorbitofrontal_1,5,parstriangularis
6,lateralorbitofrontal_10,6,lateralorbitofrontal_6,6,frontalpole_1,6,medialorbitofrontal_2,6,parsopercularis
7,lateralorbitofrontal_4,7,lateralorbitofrontal_7,7,medialorbitofrontal_1,7,parstriangularis_1,7,rostralmiddlefrontal
8,lateralorbitofrontal_17,8,parsorbitalis_1,8,medialorbitofrontal_2,8,parsopercularis_1,8,superiorfrontal
9,lateralorbitofrontal_8,9,parsorbitalis_2,9,medialorbitofrontal_3,9,rostralmiddlefrontal_1,9,caudalmiddlefrontal
10,lateralorbitofrontal_15,10,frontalpole_1,10,parstriangularis_1,10,rostralmiddlefrontal_2,10,precentral
11,lateralorbitofrontal_13,11,medialorbitofrontal_1,11,parstriangularis_2,11,superiorfrontal_1,11,paracentral
12,lateralorbitofrontal_12,12,medialorbitofrontal_2,12,parsopercularis_1,12,superiorfrontal_2,12,rostralanteriorcingulate
13,lateralorbitofrontal_1,13,medialorbitofrontal_3,13,parsopercularis_2,13,superiorfrontal_3,13,caudalanteriorcingulate
14,lateralorbitofrontal_3,14,medialorbitofrontal_4,14,rostralmiddlefrontal_1,14,superiorfrontal_4,14,posteriorcingulate
15,lateralorbitofrontal_16,15,medialorbitofrontal_5,15,rostralmiddlefrontal_2,15,caudalmiddlefrontal_1,15,isthmuscingulate
16,lateralorbitofrontal_14,16,parstriangularis_1,16,rostralmiddlefrontal_3,16,precentral_1,16,postcentral
17,lateralorbitofrontal_2,17,parstriangularis_2,17,rostralmiddlefrontal_4 ,17,precentral_2,17,supramarginal
18,parsorbitalis_4,18,parstriangularis_3,18,rostralmiddlefrontal_5 ,18,precentral_3,18,superiorparietal
19,parsorbitalis_1,19,parstriangularis_4,19,rostralmiddlefrontal_6,19,paracentral_1,19,inferiorparietal
20,parsorbitalis_2,20,parsopercularis_1,20,superiorfrontal_1,20,rostralanteriorcingulate_1,20,precuneus
21,parsorbitalis_3,21,parsopercularis_2,21,superiorfrontal_2,21,caudalanteriorcingulate_1,21,cuneus
22,frontalpole_2,22,parsopercularis_3,22,superiorfrontal_3,22,posteriorcingulate_1,22,pericalcarine
23,frontalpole_1,23,parsopercularis_4,23,superiorfrontal_4,23,isthmuscingulate_1,23,lateraloccipital
24,medialorbitofrontal_1,24,rostralmiddlefrontal_1,24,superiorfrontal_5,24,postcentral_1,24,lingual
25,medialorbitofrontal_9,25,rostralmiddlefrontal_2,25,superiorfrontal_6,25,postcentral_2,25,fusiform
26,medialorbitofrontal_7,26,rostralmiddlefrontal_3,26,superiorfrontal_7,26,supramarginal_1,26,parahippocampal
27,medialorbitofrontal_3,27,rostralmiddlefrontal_4 ,27,superiorfrontal_8,27,supramarginal_2,27,entorhinal
28,medialorbitofrontal_10,28,rostralmiddlefrontal_5 ,28,caudalmiddlefrontal_1,28,superiorparietal_1,28,temporalpole
29,medialorbitofrontal_8,29,rostralmiddlefrontal_6,29,caudalmiddlefrontal_2,29,superiorparietal_2,29,inferiortemporal
30,medialorbitofrontal_5,30,rostralmiddlefrontal_7,30,caudalmiddlefrontal_3,30,superiorparietal_3,30,middletemporal
31,medialorbitofrontal_4,31,rostralmiddlefrontal_8,31,precentral_1,31,inferiorparietal_1,31,bankssts
32,medialorbitofrontal_2,32,rostralmiddlefrontal_9,32,precentral_2,32,inferiorparietal_2,32,superiortemporal
33,medialorbitofrontal_6,33,rostralmiddlefrontal_10,33,precentral_3,33,inferiorparietal_3,33,transversetemporal
34,medialorbitofrontal_11,34,rostralmiddlefrontal_11,34,precentral_4,34,precuneus_1,34,insula
35,parstriangularis_8,35,rostralmiddlefrontal_12,35,precentral_5,35,precuneus_2,35,thalamusproper
36,parstriangularis_5,36,rostralmiddlefrontal_13,36,precentral_6,36,cuneus_1,36,caudate
37,parstriangularis_3,37,superiorfrontal_1,37,paracentral_1,37,pericalcarine_1,37,putamen
38,parstriangularis_4,38,superiorfrontal_2,38,paracentral_2,38,lateraloccipital_1,38,pallidum
39,parstriangularis_1,39,superiorfrontal_3,39,paracentral_3,39,lateraloccipital_2,39,accumbensarea
40,parstriangularis_2,40,superiorfrontal_4,40,rostralanteriorcingulate_1,40,lateraloccipital_3,40,hyppocampus
41,parstriangularis_7,41,superiorfrontal_5,41,caudalanteriorcingulate_1,41,lingual_1,41,amygdala
42,parstriangularis_6,42,superiorfrontal_6,42,posteriorcingulate_1,42,lingual_2,,
43,parsopercularis_8,43,superiorfrontal_7,43,posteriorcingulate_2,43,fusiform_1,,
44,parsopercularis_4,44,superiorfrontal_8,44,isthmuscingulate_1,44,fusiform_2,,
45,parsopercularis_5,45,superiorfrontal_9,45,postcentral_1,45,parahippocampal_1,,
46,parsopercularis_9,46,superiorfrontal_10,46,postcentral_2,46,entorhinal_1,,
47,parsopercularis_3,47,superiorfrontal_11,47,postcentral_3,47,temporalpole_1,,
48,parsopercularis_1,48,superiorfrontal_12,48,postcentral_4,48,inferiortemporal_1,,
49,parsopercularis_7,49,superiorfrontal_13,49,postcentral_5,49,inferiortemporal_2,,
50,parsopercularis_6,50,superiorfrontal_14,50,supramarginal_1,50,middletemporal_1,,
51,parsopercularis_2,51,superiorfrontal_15,51,supramarginal_2,51,middletemporal_2,,
52,rostralmiddlefrontal_19,52,superiorfrontal_16,52,supramarginal_3,52,bankssts_1,,
53,rostralmiddlefrontal_21,53,superiorfrontal_17,53,supramarginal_4,53,superiortemporal_1,,
54,rostralmiddlefrontal_16,54,caudalmiddlefrontal_1,54,superiorparietal_1,54,superiortemporal_2,,
55,rostralmiddlefrontal_22,55,caudalmiddlefrontal_2,55,superiorparietal_2,55,transversetemporal_1,,
56,rostralmiddlefrontal_24,56,caudalmiddlefrontal_3,56,superiorparietal_3,56,insula_1,,
57,rostralmiddlefrontal_10,57,caudalmiddlefrontal_4,57,superiorparietal_4,57,insula_2,,
58,rostralmiddlefrontal_20,58,caudalmiddlefrontal_5,58,superiorparietal_5,58,thalamusproper,,
59,rostralmiddlefrontal_15,59,precentral_1,59,superiorparietal_6,59,caudate,,
60,rostralmiddlefrontal_18,60,precentral_2,60,superiorparietal_7,60,putamen,,
61,rostralmiddlefrontal_7,61,precentral_3,61,inferiorparietal_1,61,pallidum,,
62,rostralmiddlefrontal_25,62,precentral_4,62,inferiorparietal_2,62,accumbensarea,,
63,rostralmiddlefrontal_23,63,precentral_5,63,inferiorparietal_3,63,hyppocampus,,
64,rostralmiddlefrontal_4,64,precentral_6,64,inferiorparietal_4,64,amygdala,,
65,rostralmiddlefrontal_27,65,precentral_7,65,inferiorparietal_5,,,,
66,rostralmiddlefrontal_14,66,precentral_8,66,inferiorparietal_6,,,,
67,rostralmiddlefrontal_17,67,precentral_9,67,precuneus_1,,,,
68,rostralmiddlefrontal_9,68,precentral_10,68,precuneus_2,,,,
69,rostralmiddlefrontal_12,69,precentral_11,69,precuneus_3,,,,
70,rostralmiddlefrontal_2,70,precentral_12,70,precuneus_4,,,,
71,rostralmiddlefrontal_13,71,precentral_13,71,precuneus_5,,,,
72,rostralmiddlefrontal_11,72,precentral_14,72,cuneus_1,,,,
73,rostralmiddlefrontal_3,73,precentral_15,73,cuneus_2,,,,
74,rostralmiddlefrontal_5,74,precentral_16,74,pericalcarine_1,,,,
75,rostralmiddlefrontal_8,75,paracentral_1,75,pericalcarine_2,,,,
76,rostralmiddlefrontal_26,76,paracentral_2,76,lateraloccipital_1,,,,
77,rostralmiddlefrontal_1,77,paracentral_3,77,lateraloccipital_2,,,,
78,rostralmiddlefrontal_6,78,paracentral_4,78,lateraloccipital_3,,,,
79,superiorfrontal_40,79,paracentral_5,79,lateraloccipital_4,,,,
80,superiorfrontal_4,80,paracentral_6,80,lateraloccipital_5,,,,
81,superiorfrontal_3,81,rostralanteriorcingulate_1,81,lingual_1,,,,
82,superiorfrontal_14,82,rostralanteriorcingulate_2,82,lingual_2,,,,
83,superiorfrontal_7,83,caudalanteriorcingulate_1,83,lingual_3,,,,
84,superiorfrontal_23,84,caudalanteriorcingulate_2,84,fusiform_1,,,,
85,superiorfrontal_10,85,caudalanteriorcingulate_3,85,fusiform_2,,,,
86,superiorfrontal_39,86,posteriorcingulate_1,86,fusiform_3,,,,
87,superiorfrontal_19,87,posteriorcingulate_2,87,fusiform_4,,,,
88,superiorfrontal_29,88,posteriorcingulate_3,88,parahippocampal_1,,,,
89,superiorfrontal_1,89,posteriorcingulate_4,89,entorhinal_1,,,,
90,superiorfrontal_27,90,isthmuscingulate_1,90,temporalpole_1,,,,
91,superiorfrontal_30,91,isthmuscingulate_2,91,inferiortemporal_1,,,,
92,superiorfrontal_15,92,postcentral_1,92,inferiortemporal_2,,,,
93,superiorfrontal_2,93,postcentral_2,93,inferiortemporal_3,,,,
94,superiorfrontal_11,94,postcentral_3,94,inferiortemporal_4,,,,
95,superiorfrontal_37,95,postcentral_4,95,middletemporal_1,,,,
96,superiorfrontal_8,96,postcentral_5,96,middletemporal_2,,,,
97,superiorfrontal_36,97,postcentral_6,97,middletemporal_3,,,,
98,superiorfrontal_25,98,postcentral_7,98,middletemporal_4,,,,
99,superiorfrontal_24,99,postcentral_8,99,bankssts_1,,,,
100,superiorfrontal_38,100,postcentral_9,100,superiortemporal_1,,,,
101,superiorfrontal_20,101,postcentral_10,101,superiortemporal_2,,,,
102,superiorfrontal_5,102,postcentral_11,102,superiortemporal_3,,,,
103,superiorfrontal_22,103,postcentral_12,103,superiortemporal_4,,,,
104,superiorfrontal_21,104,supramarginal_1,104,superiortemporal_5,,,,
105,superiorfrontal_12,105,supramarginal_2,105,transversetemporal_1,,,,
106,superiorfrontal_18,106,supramarginal_3,106,insula_1,,,,
107,superiorfrontal_42,107,supramarginal_4,107,insula_2,,,,
108,superiorfrontal_13,108,supramarginal_5,108,insula_3,,,,
109,superiorfrontal_32,109,supramarginal_6,109,thalamusproper,,,,
110,superiorfrontal_33,110,supramarginal_7,110,caudate,,,,
111,superiorfrontal_28,111,supramarginal_8,111,putamen,,,,
112,superiorfrontal_41,112,supramarginal_9,112,pallidum,,,,
113,superiorfrontal_16,113,superiorparietal_1,113,accumbensarea,,,,
114,superiorfrontal_6,114,superiorparietal_2,114,hyppocampus,,,,
115,superiorfrontal_9,115,superiorparietal_3,115,amygdala,,,,
116,superiorfrontal_17,116,superiorparietal_4,,,,,,
117,superiorfrontal_31,117,superiorparietal_5,,,,,,
118,superiorfrontal_35,118,superiorparietal_6,,,,,,
119,superiorfrontal_34,119,superiorparietal_7,,,,,,
120,superiorfrontal_26,120,superiorparietal_8,,,,,,
121,caudalmiddlefrontal_8,121,superiorparietal_9,,,,,,
122,caudalmiddlefrontal_4,122,superiorparietal_10,,,,,,
123,caudalmiddlefrontal_2,123,superiorparietal_11,,,,,,
124,caudalmiddlefrontal_3,124,superiorparietal_12,,,,,,
125,caudalmiddlefrontal_7,125,superiorparietal_13,,,,,,
126,caudalmiddlefrontal_5,126,inferiorparietal_1,,,,,,
127,caudalmiddlefrontal_11,127,inferiorparietal_2,,,,,,
128,caudalmiddlefrontal_10,128,inferiorparietal_3,,,,,,
129,caudalmiddlefrontal_1,129,inferiorparietal_4,,,,,,
130,caudalmiddlefrontal_9,130,inferiorparietal_5,,,,,,
131,caudalmiddlefrontal_6,131,inferiorparietal_6,,,,,,
132,precentral_12,132,inferiorparietal_7,,,,,,
133,precentral_35,133,inferiorparietal_8,,,,,,
134,precentral_28,134,inferiorparietal_9,,,,,,
135,precentral_36,135,inferiorparietal_10,,,,,,
136,precentral_31,136,inferiorparietal_11,,,,,,
137,precentral_5,137,inferiorparietal_12,,,,,,
138,precentral_21,138,precuneus_1,,,,,,
139,precentral_1,139,precuneus_2,,,,,,
140,precentral_8,140,precuneus_3,,,,,,
141,precentral_20,141,precuneus_4,,,,,,
142,precentral_34,142,precuneus_5,,,,,,
143,precentral_2,143,precuneus_6,,,,,,
144,precentral_23,144,precuneus_7,,,,,,
145,precentral_19,145,precuneus_8,,,,,,
146,precentral_22,146,precuneus_9,,,,,,
147,precentral_26,147,precuneus_10,,,,,,
148,precentral_6,148,cuneus_1,,,,,,
149,precentral_10,149,cuneus_2,,,,,,
150,precentral_3,150,cuneus_3,,,,,,
151,precentral_9,151,cuneus_4,,,,,,
152,precentral_4,152,pericalcarine_1,,,,,,
153,precentral_32,153,pericalcarine_2,,,,,,
154,precentral_16,154,pericalcarine_3,,,,,,
155,precentral_15,155,pericalcarine_4,,,,,,
156,precentral_30,156,lateraloccipital_1,,,,,,
157,precentral_18,157,lateraloccipital_2,,,,,,
158,precentral_27,158,lateraloccipital_3,,,,,,
159,precentral_7,159,lateraloccipital_4,,,,,,
160,precentral_11,160,lateraloccipital_5,,,,,,
161,precentral_14,161,lateraloccipital_6,,,,,,
162,precentral_33,162,lateraloccipital_7,,,,,,
163,precentral_24,163,lateraloccipital_8,,,,,,
164,precentral_13,164,lateraloccipital_9,,,,,,
165,precentral_29,165,lateraloccipital_10,,,,,,
166,precentral_25,166,lingual_1,,,,,,
167,precentral_17,167,lingual_2,,,,,,
168,paracentral_1,168,lingual_3,,,,,,
169,paracentral_9,169,lingual_4,,,,,,
170,paracentral_4,170,lingual_5,,,,,,
171,paracentral_2,171,lingual_6,,,,,,
172,paracentral_3,172,lingual_7,,,,,,
173,paracentral_5,173,fusiform_1,,,,,,
174,paracentral_12,174,fusiform_2,,,,,,
175,paracentral_6,175,fusiform_3,,,,,,
176,paracentral_10,176,fusiform_4,,,,,,
177,paracentral_11,177,fusiform_5,,,,,,
178,paracentral_7,178,fusiform_6,,,,,,
179,paracentral_8,179,fusiform_7,,,,,,
180,rostralanteriorcingulate_2,180,fusiform_8,,,,,,
181,rostralanteriorcingulate_1,181,parahippocampal_1,,,,,,
182,rostralanteriorcingulate_4,182,parahippocampal_2,,,,,,
183,rostralanteriorcingulate_3,183,parahippocampal_3,,,,,,
184,caudalanteriorcingulate_1,184,entorhinal_1,,,,,,
185,caudalanteriorcingulate_6,185,temporalpole_1,,,,,,
186,caudalanteriorcingulate_4,186,inferiortemporal_1,,,,,,
187,caudalanteriorcingulate_2,187,inferiortemporal_2,,,,,,
188,caudalanteriorcingulate_3,188,inferiortemporal_3,,,,,,
189,caudalanteriorcingulate_5,189,inferiortemporal_4,,,,,,
190,posteriorcingulate_8,190,inferiortemporal_5,,,,,,
191,posteriorcingulate_1,191,inferiortemporal_6,,,,,,
192,posteriorcingulate_7,192,inferiortemporal_7,,,,,,
193,posteriorcingulate_2,193,middletemporal_1,,,,,,
194,posteriorcingulate_5,194,middletemporal_2,,,,,,
195,posteriorcingulate_3,195,middletemporal_3,,,,,,
196,posteriorcingulate_9,196,middletemporal_4,,,,,,
197,posteriorcingulate_4,197,middletemporal_5,,,,,,
198,posteriorcingulate_6,198,middletemporal_6,,,,,,
199,isthmuscingulate_3,199,middletemporal_7,,,,,,
200,isthmuscingulate_1,200,middletemporal_8,,,,,,
201,isthmuscingulate_2,201,middletemporal_9,,,,,,
202,isthmuscingulate_4,202,bankssts_1,,,,,,
203,isthmuscingulate_5,203,bankssts_2,,,,,,
204,isthmuscingulate_6,204,bankssts_3,,,,,,
205,postcentral_24,205,superiortemporal_1,,,,,,
206,postcentral_26,206,superiortemporal_2,,,,,,
207,postcentral_6,207,superiortemporal_3,,,,,,
208,postcentral_20,208,superiortemporal_4,,,,,,
209,postcentral_25,209,superiortemporal_5,,,,,,
210,postcentral_11,210,superiortemporal_6,,,,,,
211,postcentral_3,211,superiortemporal_7,,,,,,
212,postcentral_18,212,superiortemporal_8,,,,,,
213,postcentral_27,213,superiortemporal_9,,,,,,
214,postcentral_13,214,superiortemporal_10,,,,,,
215,postcentral_23,215,superiortemporal_11,,,,,,
216,postcentral_9,216,transversetemporal_1,,,,,,
217,postcentral_17,217,insula_1,,,,,,
218,postcentral_30,218,insula_2,,,,,,
219,postcentral_22,219,insula_3,,,,,,
220,postcentral_7,220,insula_4,,,,,,
221,postcentral_4,221,insula_5,,,,,,
222,postcentral_5,222,insula_6,,,,,,
223,postcentral_29,223,insula_7,,,,,,
224,postcentral_1,224,thalamusproper,,,,,,
225,postcentral_16,225,caudate,,,,,,
226,postcentral_14,226,putamen,,,,,,
227,postcentral_12,227,pallidum,,,,,,
228,postcentral_21,228,accumbensarea,,,,,,
229,postcentral_8,229,hyppocampus,,,,,,
230,postcentral_10,230,amygdala,,,,,,
231,postcentral_2,,,,,,,,
232,postcentral_19,,,,,,,,
233,postcentral_15,,,,,,,,
234,postcentral_28,,,,,,,,
235,supramarginal_19,,,,,,,,
236,supramarginal_10,,,,,,,,
237,supramarginal_11,,,,,,,,
238,supramarginal_13,,,,,,,,
239,supramarginal_18,,,,,,,,
240,supramarginal_20,,,,,,,,
241,supramarginal_8,,,,,,,,
242,supramarginal_4,,,,,,,,
243,supramarginal_15,,,,,,,,
244,supramarginal_9,,,,,,,,
245,supramarginal_3,,,,,,,,
246,supramarginal_14,,,,,,,,
247,supramarginal_16,,,,,,,,
248,supramarginal_2,,,,,,,,
249,supramarginal_6,,,,,,,,
250,supramarginal_12,,,,,,,,
251,supramarginal_1,,,,,,,,
252,supramarginal_7,,,,,,,,
253,supramarginal_5,,,,,,,,
254,supramarginal_17,,,,,,,,
255,superiorparietal_13,,,,,,,,
256,superiorparietal_24,,,,,,,,
257,superiorparietal_18,,,,,,,,
258,superiorparietal_10,,,,,,,,
259,superiorparietal_29,,,,,,,,
260,superiorparietal_4,,,,,,,,
261,superiorparietal_12,,,,,,,,
262,superiorparietal_15,,,,,,,,
263,superiorparietal_28,,,,,,,,
264,superiorparietal_16,,,,,,,,
265,superiorparietal_17,,,,,,,,
266,superiorparietal_7,,,,,,,,
267,superiorparietal_20,,,,,,,,
268,superiorparietal_25,,,,,,,,
269,superiorparietal_22,,,,,,,,
270,superiorparietal_9,,,,,,,,
271,superiorparietal_5,,,,,,,,
272,superiorparietal_26,,,,,,,,
273,superiorparietal_23,,,,,,,,
274,superiorparietal_2,,,,,,,,
275,superiorparietal_14,,,,,,,,
276,superiorparietal_11,,,,,,,,
277,superiorparietal_21,,,,,,,,
278,superiorparietal_19,,,,,,,,
279,superiorparietal_6,,,,,,,,
280,superiorparietal_27,,,,,,,,
281,superiorparietal_1,,,,,,,,
282,superiorparietal_3,,,,,,,,
283,superiorparietal_8,,,,,,,,
284,inferiorparietal_13,,,,,,,,
285,inferiorparietal_21,,,,,,,,
286,inferiorparietal_11,,,,,,,,
287,inferiorparietal_3,,,,,,,,
288,inferiorparietal_4,,,,,,,,
289,inferiorparietal_25,,,,,,,,
290,inferiorparietal_12,,,,,,,,
291,inferiorparietal_8,,,,,,,,
292,inferiorparietal_16,,,,,,,,
293,inferiorparietal_26,,,,,,,,
294,inferiorparietal_2,,,,,,,,
295,inferiorparietal_17,,,,,,,,
296,inferiorparietal_5,,,,,,,,
297,inferiorparietal_1,,,,,,,,
298,inferiorparietal_19,,,,,,,,
299,inferiorparietal_14,,,,,,,,
300,inferiorparietal_9,,,,,,,,
301,inferiorparietal_18,,,,,,,,
302,inferiorparietal_10,,,,,,,,
303,inferiorparietal_20,,,,,,,,
304,inferiorparietal_22,,,,,,,,
305,inferiorparietal_23,,,,,,,,
306,inferiorparietal_6,,,,,,,,
307,inferiorparietal_7,,,,,,,,
308,inferiorparietal_15,,,,,,,,
309,inferiorparietal_24,,,,,,,,
310,precuneus_2,,,,,,,,
311,precuneus_1,,,,,,,,
312,precuneus_3,,,,,,,,
313,precuneus_6,,,,,,,,
314,precuneus_19,,,,,,,,
315,precuneus_10,,,,,,,,
316,precuneus_16,,,,,,,,
317,precuneus_12,,,,,,,,
318,precuneus_22,,,,,,,,
319,precuneus_9,,,,,,,,
320,precuneus_21,,,,,,,,
321,precuneus_7,,,,,,,,
322,precuneus_15,,,,,,,,
323,precuneus_14,,,,,,,,
324,precuneus_11,,,,,,,,
325,precuneus_8,,,,,,,,
326,precuneus_20,,,,,,,,
327,precuneus_4,,,,,,,,
328,precuneus_5,,,,,,,,
329,precuneus_23,,,,,,,,
330,precuneus_18,,,,,,,,
331,precuneus_13,,,,,,,,
332,precuneus_17,,,,,,,,
333,cuneus_1,,,,,,,,
334,cuneus_2,,,,,,,,
335,cuneus_8,,,,,,,,
336,cuneus_3,,,,,,,,
337,cuneus_7,,,,,,,,
338,cuneus_6,,,,,,,,
339,cuneus_5,,,,,,,,
340,cuneus_4,,,,,,,,
341,pericalcarine_1,,,,,,,,
342,pericalcarine_5,,,,,,,,
343,pericalcarine_3,,,,,,,,
344,pericalcarine_7,,,,,,,,
345,pericalcarine_2,,,,,,,,
346,pericalcarine_6,,,,,,,,
347,pericalcarine_4,,,,,,,,
348,pericalcarine_8,,,,,,,,
349,lateraloccipital_18,,,,,,,,
